text,true_label,predicted_label
romanovsrevenge that's one nice video you got there my ancestors roger and hans would have loved it had they not t co h0ulmtvjba,Positive,Neutral
tejasvi surya dear sir you are entered in cabinet modiji we wish best of luck,Neutral,Positive
narendramodi hearty congratulations prime minister of india sri narendra damodar das modi bhaye god bless you bhaye love you bhaya,Neutral,Positive
rt isabgah make peace with everyone people are dying wallahi this life is nothing you never know we can die at anytime death await,Neutral,Positive
drmdnr railwayseva drm apdj ye he india ka rail koi bhi javab nahi deta or paisa pura le lete he kya drm ya kisi t co 9i71uwhicc,Positive,Negative
jub tak burayi k khilaf ladoge nahi thab tak tum sahi ya haq wale sabit nahi hoge haq ushe nahi kahete jo batil ko t co fomcmc2i05,Neutral,Negative
anjanaomkashyap tumhari rozi roti ka sawal to ayega nahi wo to unofficial bite mil jata hai bjp spokesperson jo ho,Negative,Neutral
rt nowthisisliving happy pride month i hope you feel even the slightest bit of pride in yourself this month i know it can be hard b,Neutral,Positive
k d desai icc lol pyare you may be right our bowling isn t the strongest suit lekin aap to jaante howe pakist t co vv1ktxguu4,Positive,Neutral
maryamnsharif haram khila kar hamey khud jail chaley jatey ho kitney mahaan ho tum baba hamarey itna zaleel ho t co gsfn75wnq5,Negative,Positive
geonews urdu laga shart kch nh hoga bhai hare ho haro gai worldcup nh jeeto gai likh kr rkh lo t co ubepqinq6r,Negative,Neutral
shanaya raval tanusream22 aima dvn27 armaanmalik22 heaters ho to heaters ki awkat me raho jyada achha banne ki koshi mat karo,Negative,Neutral
green top at world cup an aayega mazaa,Positive,Neutral
pontifex kuttar bacca son of dog kutte ki billo waladul kalb,Neutral,Negative
arvindpachauri2 sir ji aapne hamare comment ko lik kiya dhanyawad sir ji aap apney sthar sey pharmacist key liy kuch karey,Positive,Neutral
rt pssaini1 sharadkhurana71 good morning sir my self p s saini from krishi jagran monthly in hindi punjabi gujarati marathi kanna,Positive,Neutral
i blv in karma kisi ke chehre ki muskn chinkr khud kbi khush ni rha ja jo dia h wps m bhi milega t co o8iuh1yxx2,Positive,Neutral
rt sallukhanbeing retweet for this king 5 din intizar k baad raaj ho ga bollywood py salman khan ka bharatin5days t co ntg8ojoa3g,Positive,Neutral
divyanshmohit gulbukhari tum apny indian ki fikkar karo pakistan ko hum khud dykh lyngy mukti bahini 2 nahi ban t co jz4xmvvwlu,Neutral,Negative
shahidmasooddr walikum assalam shahid bhai wish you to a great day happy week of ramadan ahead with lots of ha t co ob6q6hrohi,Neutral,Positive
kuch seekho ye attitude chaiyai agar world cup jeetna hay t co v2of5cs5xj,Positive,Neutral
desistupides kunalkamra88 ab rehene de thapar tera rahul khud ra fail ho gaya hai tu kya karne wala ja kahi t co wkdh6vxrqt,Neutral,Negative
bachpunn iffat s97 nishacharr brahmaandkimaa hot ' kameeney she replied me,Positive,Neutral
drkumarvishwas sardesairajdeep how can a person be that much infected of madhar chodi,Negative,Neutral
nitishkumar mananiya cm sahab ab to apki sarker hai modi ji bhi saath hai to mera app se binarm niwedan hai ki kri t co vswknnxeh3,Positive,Neutral
incmp ye galti ke frame se koe gaya nahi hoga cm sir phir se niskasit samvida karmachariyo ko dhokha mat dijiye t co qyovqid27t,Neutral,Negative
dr panditji dominos you just lost a customer ab tumpe jabtak ispe fir nahi kroge main nahi khane wala,Neutral,Negative
pakistan ke captain ki statement sach saabit ho rhi h pehla hi match buri tarah se haar gyi shi kha tha sarfaraj t co raborsveb0,Negative,Neutral
durfiteymun dhari nahi hoon sabse phar first ones are scary,Positive,Neutral
joydas na na allah ke kisi nek bande ki baddua bhe kaam kar sakte hai enemies pakistan ko destroy karne ke liye t co sifjvci6bz,Negative,Neutral
rt bollywood life kabirsingh new song tujhekitnachahnelage is the new age love ballad filled with melancholy and longing watch video,Neutral,Positive
shekhargupta thejaggi sirjee not taking advise from people who have consistently been wrong is a good start,Positive,Neutral
iamthedrifter change apne naam ki hi laaj rakh lo ye kuttey pakistan aur pak army k khilaaf hain inn ko tou sar t co qhirvbagn1,Neutral,Negative
narendramodi congratulations sir on behalf on india and jan samasya mela bharat on oath ceremony as pm india for t co 952ts5cirf,Neutral,Positive
agar koi bole desh me vikas nahi huva tu hum nahi manege kyunke desh me jana maana gunda bhi desh ka t co 4o9o83extv,Neutral,Negative
congress cwc ne aaj kaha ki cong sanvidhan ki raksha ke liye ladti rahegi kya unka aarth he ki modi sarkar sanvidh t co jgoftubji1,Positive,Neutral
ek bjp hai log sweksha se mantri pad ke liye mana kar de rahe hain aur ek congressi hain ashokgehlot51 t co nraems0qan,Negative,Neutral
chah jau all world ke kisi bhi desh ko bana du ya delete kr du meri marji kyu main kisi bad nhi sirf achha kr na st t co nhl5ole6xa,Negative,Neutral
varshasinghmcx muslim tustikarad hindu virodbhrashtachar public ko bevkuf samajhkar safed jhuthbharat ki sbhya t co jgasypmw2d,Neutral,Negative
muhamma37196903 youtube tseries pakistani nalle itna darte hai humse ki apna chehra bhi nahi lagate profile pic t co qglkj5um6p,Negative,Neutral
if you love them buy them a bhau vadapaav t co sfesn5pxkk,Positive,Neutral
dbinea m asingwire haha era gwe kale no one can decive you about the future you already see the future,Positive,Neutral
rt kumarnigam18 jo log tamilnadu me rehte hai unhey koi problem nahin fir tum logo ko kyun mirchi lagi padi hai wahan v violence crea,Neutral,Negative
felicitous hawk jyada hoshiyar hote hai yeh log number lene ki ninja technique thi voh,Neutral,Negative
cmojharkhand sir aap apne wade ko pura nahi kar paye subcapital mein light ki aise problem pehle kavi nahi hui th t co v8ynkkktqu,Negative,Neutral
rahulgandhi vipaksh mein bhi rahne layak nahi 21 dalon ka vipaksh bhi evm hatao yaa ban evm ke liye andolan nahi t co b6sdmru8ld,Negative,Neutral
sakshijoshii news24tvchannel syedzafarbjp 5 saal sarkar nam ki kendre mein fir bangai ab tumhein bhi sangath ka t co jvsh0ayzki,Positive,Negative
rt chandeluday aaj koi bhi government holiday nahi hai but aaj bhi dumri kalan post office band tha only attendance lagate hai please ta,Negative,Neutral
chhavi i think we need a statute which acts as a strong deterrent for such savage people as rapists and a very q t co jfgbeejyoa,Positive,Neutral
piersmorgan guy like u u can't even run 100 metre even a 15 year old guy can beat u in anything,Negative,Neutral
avnijesh mamataofficial pareshan karke rakh diya hai ye 3 shabd ne mamta ko pehli baar hi ignore maar deti ya s t co wuzn0wnelh,Neutral,Negative
narendramodi respected modi ji sir app india k chor logo k liye kari se kari saza nikaliye chalte firte bag t co bc6ljz3tp2,Positive,Neutral
ashutosh83b apki midea ne pulwama me 300kg rdx kha se aya uski khozbeen nhi ki bas bjp ka parchaar kiya,Negative,Neutral
beingsalmankhan salman sir ji m deepak kapoor rohtak sir ji maine ek film ki kahani likhi hai jo aapko bhot pasand t co stajs2kpqo,Neutral,Positive
sherryontopp dp dekhke to nahi lagta bjp then congress next election bsp aajma lo milna baba ji ka thullu he hai thoko taali,Neutral,Negative
ungraduateg ytcreatorsindia i am big fan of you o will retweet aapka channel jaldi vapas lane ki kushish karuga m t co wtunqjxxpc,Neutral,Positive
dragonhindix bhai me appka bada fan hu amd mujhe anime bohat acha lagta he so please app weathering with you bala t co ncl0tzoldq,Positive,Neutral
xeiauddin elate0309 ibne sena jmukmrpolice crpf srinagar muslims in india are in much better condition than is t co wnkwfodol9,Positive,Neutral
rt maleehahashmey well done army chief two army officers to be punished over leaking sensitive information to state enemies brig,Neutral,Negative
imrankhanpti sir samjh ni ati ap q khamoah hain itne toofan itni afaat allah pak maf kre sirf itne zulm baxheo k s t co 3frzxv9dqt,Neutral,Negative
expressnewspk shamidrees or iski wife ko choor k ye duckybhai or doosra kaun hai pata nhi ye ducky or ye khujli t co aj2gemkjcf,Neutral,Negative
imrankhanpti is happy god has answered his prayers aaj pak mein phatake futenge,Negative,Positive
imrankhanpti pakistan me hindu ladkiyo ki kidnapping aur jabran nikah pe koi kuch nahi kar sakta lekin pakisan ke t co kidnh94k4h,Negative,Neutral
jawadahmadone aik singer r dancer ko kia pta k muslim umma ka dard kia hta h tm stage performer ho whi rho apni t co 31cny23ygw,Negative,Neutral
rt thej p s opinionsrp now that you are no longer his fan please join some other fan club like pulkit samrat or suraj pancholi good r,Negative,Neutral
rubikaliyaquat atleast tv ki pe oath to family dekhti kya dushmani hai puri modi family ko modi se,Neutral,Negative
annucricxpert i think aapako sirf dream 11 pe focus karana chaiye and aap 50 over ka team banao aap free team t co dmyharjxsy,Positive,Neutral
rt srivastava dj madhukishwar pta nhi kyu hindu ladkiyan is gandgi me girti hi ja rhi hain libral hindu hone ka ye result hai it is o,Neutral,Negative
16 ki ledki aur 67 ka budha din pe 3 baar aur week pe 7 din toh uski vagina ki halat kya hoga 1667 3 7 t co c7annpxqfx,Negative,Neutral
bbhuttozardari mna ko kya right he k wo army chek post pe hmla kr de teri siyasat khatm ho chuki beta,Neutral,Negative
rt mlb we see you rocking oakley prizm lenses like thejudge44 rt for your chance to win a pair official rules t co 4tor,Positive,Neutral
mamataofficial o hello kaun ho aap what is your identity out side west bengal through out the country and in the t co urpxz0wdbz,Negative,Neutral
new sarkaar bante hi ye kaam bahut achchha kiya hi modi ji ne thanks modi ji saraabbant t co jd3ozzuwyd,Neutral,Positive
radhikabarman5 congressee very informative article choti ka bada khulasa,Neutral,Positive
reddygaruon dhasu osm pic msg me chat krte h aao,Positive,Neutral
utar63741 tum apna face kanhi aur ja ke kala karwalo desh ko kosane ki jaroorat nahi hai aur jate hue baki ko b t co f6q08yb45p,Negative,Neutral
hahaha this is sooo cool bole toh ekdum hard siddhantchturvd sanyamalhotra07 meninblack mibinternational t co pt8mqd5pud,Positive,Neutral
railwayseva drmngpsecr janta pareshan h sir agr isme action nahi kiya gya to janta aandolan krengi railway aur parking ke naam se,Negative,Neutral
avdeshrawani ap ke cover pic me kisi bachhi ki pic he sayd apki beti he bhot pyari he ek beti ke baap ko ai t co 7x5qbymlks,Positive,Neutral
metoomvmt jaurri ye nahi ki shirf male hee sexual harrasment karte he kahi kahi woman are also found guilty so don't blame every time male,Neutral,Negative
good morning india shubh suprabhat bharat friends wishes you all a happy sunday vande mataram india,Neutral,Positive
light and dark haru are back and better than ever fruitsbasket fruitsbasketspoilers t co y9lecngdrb,Neutral,Positive
i kicked my best friend bcoz i'm sexy t co lttmd3zpty,Neutral,Positive
shirishy isko nikal dia tha world cup 2011 me sayad ek banda call p aya bolta h india england and australia ni ayga semifinal m,Negative,Neutral
rahulgandhi priyankagandhi congress party gandhi pariwar ka bapauti nahi hai congress president gandhi pariwar se t co unczoxhmm9,Negative,Neutral
besides the yankees winning this yankeesclassic the best thing about this game is the fact that murcer and kaat a t co h9ubjix3bz,Positive,Neutral
list aur bhi bht lambi hai pr ye wo log hai jinke baap dada mama rajneeta the aur ab in sb ko janneta manne pe majb t co zexkyz1suw,Negative,Neutral
pawansh07 badlao se problem kya hai kya badlao hone ke bad party khatm ho jayegi dusro ko v moka dijiye a t co lwg5jenwuh,Positive,Negative
adnanrazakhan crisspyguy omgajeebsi nahi woh samjhtay houngay fail hokay ya chars kay chakar may deport hokay agaya hai,Neutral,Negative
ghar walo ki galti ka nateeja hai yeh sab bachpan me do kaan ke neeche lagaye hote to aaj yeh bevkoofi nahi dekhne t co tvhoqy2e46,Negative,Neutral
raypavan42 bksingh40912729 dr uditraj is bat ki jyada nolleg tumko lagti h tabhi to bolne me bilkul bhi sarm nhi t co 8lstlbic2i,Neutral,Negative
ifonlykewal jiske naam pe filme chlti thi na wo usse desh nhi chla wps industry chla gya aur ab industry me bhi nh t co xefzk6f0no,Neutral,Negative
1raykwon yes my anxiety has been really high lately i just been tryna pray shake it off i m deff gonna look i t co bru0mkql3f,Positive,Neutral
rt biju rkf krazydevil5 srk pankhi actually 6 flop movies since 2015 kat has so that means she is a panauti,Negative,Neutral
narendramodi dth providers maalamal ho rahe hain aur gareeb halal please new dth policy band karen bjp sarkar ke t co w5kvq1i0wq,Positive,Neutral
ashoswai indiatoday lo bangaya india super power in education fale liberals and modi haters will start cry that t co pumeqpvxfl,Negative,Neutral
akshayerathi ye toh possible hi nahin hai grow up so pehley i'll throw up thank you so much buddy,Neutral,Positive
dkpatel040 askanshul abe khud se pati hai pata nhi hindu ladkiyon ko kya hua muslim ladke ko hi phansaati hai p t co miawtxstdj,Neutral,Negative
chroniclenufc yeh like is he a real sheik a fake shake or a milk shake is it a take over a make over or a fake over,Positive,Neutral
tvmohandaspai ashokepandit sir these loosers have lost their mind not able to digest the victory of modiji li t co cqrl4kjjvv,Negative,Neutral
rt mariocimarro happy new year bonne ann e feliz a o nuevo laimingu naujuju metu manigong bagong taon szczesliwego nowego roku barka da s,Neutral,Positive
jis sena ke but modi ji chunav me jit kar ate hain bjp ki sarkar wale rajya me unke hi gunde sainikon ko lahu luhan t co v60igarzov,Neutral,Negative
amitshah sir ap se request hai ap bengal me manirul islam ko bjp se bahar kijiea use bjp ki bahut admi ko mara hai t co qu5aa442rd,Neutral,Negative
amitshah evm ghotale se sambandhit ye kitab bjp netao ne hi likhi hai unse kyu nhi puchhate t co bvaetttuys,Neutral,Negative
gulbukhari pakistan us ki vajah se toota tha jis ne 81 seats le kar 160 seats lene wale ko laat mar di thee aur vo t co byyqeqlxvu,Neutral,Negative
masti me sabhe mast ba pawansingh909 t co brapcaat4t,Positive,Neutral
productionaadar jo khan junaid jo genuine issues hai wo hai lakin mai yay maan hi nahi sakta k army walay tort t co cgras7taxf,Neutral,Negative
i hate the feeling that im being sneakdissed and i dont say nothig about it i be feeling like a bitch,Positive,Negative
ashutosh83b media bhed chaal se due rehena achha decision hai media is damaging democracy along with sangh parivaar,Positive,Negative
mera pet dard ho raha jas hash ke ye arsal kitna bada dramebaaz hai specially sahana and bejaan ke samane and t co fzfpahenuk,Negative,Positive
squintneon divya katoch6 ab har baar evm ko blame karenge to log bore ho jaenge na ye sb apni aatma ko shaant krne k totke hai,Neutral,Negative
sy3d33 kuch arse bad chats archive ho jate hai or yaddon ko bhulane ki koshish strt ho jate ha,Negative,Neutral
